Lat,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec
30N,8.8,10.7,13.1,15.2,16.5,17,16.8,15.7,13.9,11.6,9.5,8.3
29N,9.05,10.9,13.25,15.25,16.5,16.9,16.75,15.7,14,11.8,9.7,8.55
28N,9.3,11.1,13.4,15.3,16.5,16.8,16.7,15.7,14.1,12,9.9,8.8
27N,9.55,11.3,13.55,15.3,16.45,16.75,16.65,15.7,14.2,12.15,10.1,9.05
26N,9.8,11.5,13.7,15.3,16.4,16.7,16.6,15.7,14.3,12.3,10.3,9.3
25N,10,11.7,13.8,15.35,16.4,16.65,16.55,15.75,14.4,12.45,10.5,9.5
24N,10.2,11.9,13.9,15.4,16.4,16.6,16.5,15.8,14.5,12.6,10.7,9.7
23N,10.45,12.1,14.05,15.45,16.35,16.5,16.45,15.8,14.55,12.8,10.9,9.95
22N,10.7,12.3,14.2,15.5,16.3,16.4,16.4,15.8,14.6,13,11.1,10.2
21N,10.95,12.5,14.3,15.55,16.3,16.4,16.35,15.85,14.7,13.15,11.35,10.45
20N,11.2,12.7,14.4,15.6,16.3,16.4,16.3,15.9,14.8,13.3,11.6,10.7
19N,11.4,12.85,14.5,15.6,16.2,16.25,16.2,15.85,14.85,13.45,11.8,10.9
18N,11.6,13,14.6,15.6,16.1,16.1,16.1,15.8,14.9,13.6,12,11.1
17N,11.8,13.15,14.65,15.6,16.05,16,16,15.75,14.95,13.75,12.2,11.35
16N,12,13.3,14.7,15.6,16,15.9,15.9,15.7,15,13.9,12.4,11.6
15N,12.2,13.45,14.8,15.65,15.9,15.8,15.8,15.7,15.05,14,12.6,11.8
14N,12.4,13.6,14.9,15.7,15.8,15.7,15.7,15.7,15.1,14.1,12.8,12
13N,12.6,13.75,15,15.7,15.75,15.6,15.6,15.65,15.15,14.25,13.05,12.25
12N,12.8,13.9,15.1,15.7,15.7,15.5,15.5,15.6,15.2,14.4,13.3,12.5
11N,13,14.05,15.2,15.7,15.6,15.4,15.4,15.55,15.25,14.55,13.45,12.7
10N,13.2,14.2,15.3,15.7,15.5,15.3,15.3,15.5,15.3,14.7,13.6,12.9
9N,13.4,14.35,15.3,15.65,15.4,15.15,15.2,15.45,15.3,14.75,13.75,13.1
8N,13.6,14.5,15.3,15.6,15.3,15,15.1,15.4,15.3,14.8,13.9,13.3
7N,13.75,14.65,15.35,15.5,15.2,14.85,15,15.3,15.3,14.9,14.05,13.5
6N,13.9,14.8,15.4,15.4,15.1,14.7,14.9,15.2,15.3,15,14.2,13.7
5N,14.1,14.9,15.45,15.45,15,14.55,14.75,15.15,15.3,15.05,14.35,13.9
4N,14.3,15,15.5,15.5,14.9,14.4,14.6,15.1,15.3,15.1,14.5,14.1
3N,14.5,15.15,15.55,15.4,14.75,14.3,14.45,14.95,15.3,15.2,14.65,14.25
2N,14.7,15.3,15.6,15.3,14.6,14.2,14.3,14.8,15.3,15.3,14.8,14.4
1N,14.85,15.4,15.65,15.3,14.5,14.05,14.2,14.8,15.3,15.35,14.95,14.6
0N,15,15.5,15.7,15.3,14.4,13.9,14.1,14.8,15.3,15.4,15.1,14.8
50S,17.5,14.7,10.9,7,4.2,3.1,3.5,5.5,8.9,12.9,16.5,18.2
49S,17.55,14.8,11.05,7.25,4.45,3.3,3.75,5.75,9.1,13.05,16.55,18.2
48S,17.6,14.9,11.2,7.5,4.7,3.5,4,6,9.3,13.2,16.6,18.2
47S,17.65,15,11.35,7.7,4.95,3.75,4.2,6.25,9.5,13.3,16.65,18.25
46S,17.7,15.1,11.5,7.9,5.2,4,4.4,6.5,9.7,13.4,16.7,18.3
45S,17.75,15.2,11.7,8.15,5.45,4.2,4.65,6.7,9.95,13.55,16.7,18.3
44S,17.8,15.3,11.9,8.4,5.7,4.4,4.9,6.9,10.2,13.7,16.7,18.3
43S,17.8,15.4,12.05,8.6,5.9,4.65,5.15,7.15,10.4,13.85,16.75,18.3
42S,17.8,15.5,12.2,8.8,6.1,4.9,5.4,7.4,10.6,14,16.8,18.3
41S,17.85,15.6,12.35,9,6.35,5.1,5.65,7.65,10.8,14.1,16.85,18.3
40S,17.9,15.7,12.5,9.2,6.6,5.3,5.9,7.9,11,14.2,16.9,18.3
39S,17.9,15.75,12.65,9.25,6.85,5.55,6.1,8.1,11.2,14.3,16.95,18.3
38S,17.9,15.8,12.8,9.3,7.1,5.8,6.3,8.3,11.4,14.4,17,18.3
37S,17.9,15.9,13,9.7,7.3,6.05,6.55,8.55,11.55,14.5,17,18.25
36S,17.9,16,13.2,10.1,7.5,6.3,6.8,8.8,11.7,14.6,17,18.2
35S,17.9,16.05,13.35,10.3,7.75,6.55,7,9,11.85,14.75,17.05,18.2
34S,17.9,16.1,13.5,10.5,8,6.8,7.2,9.2,12,14.9,17.1,18.2
33S,17.9,16.15,13.65,10.7,8.25,7.05,7.45,9.4,12.2,15,17.15,18.15
32S,17.9,16.2,13.8,10.9,8.5,7.3,7.7,9.6,12.4,15.1,17.2,18.1
31S,17.9,16.3,13.9,11.1,8.7,7.55,7.9,9.85,12.55,15.2,17.25,18.1
30S,17.9,16.4,14,11.3,8.9,7.8,8.1,10.1,12.7,15.3,17.3,18.1
29S,17.8,16.4,14.15,11.45,9.1,8,8.35,10.25,12.85,15.35,17.25,18
28S,17.7,16.4,14.3,11.6,9.3,8.2,8.6,10.4,13,15.4,17.2,17.9
27S,17.65,16.4,14.35,11.8,9.5,8.45,8.85,10.65,13.1,15.45,17.2,17.85
26S,17.6,16.4,14.4,12,9.7,8.7,9.1,10.9,13.2,15.5,17.2,17.8
25S,17.55,16.45,14.5,12.15,9.95,8.9,9.3,11.05,13.3,15.55,17.15,17.75
24S,17.5,16.5,14.6,12.3,10.2,9.1,9.5,11.2,13.4,15.6,17.1,17.7
23S,17.45,16.5,14.7,12.45,10.4,9.35,9.75,11.4,13.55,15.65,17.05,17.6
22S,17.4,16.5,14.8,12.6,10.6,9.6,10,11.6,13.7,15.7,17,17.5
21S,17.35,16.5,14.9,12.8,10.8,9.8,10.2,11.8,13.8,15.75,17,17.45
20S,17.3,16.5,15,13,11,10,10.4,12,13.9,15.8,17,17.4
19S,17.2,16.5,15.05,13.1,11.2,10.2,10.6,12.15,14,15.8,16.9,17.25
18S,17.1,16.5,15.1,13.2,11.4,10.4,10.8,12.3,14.1,15.8,16.8,17.1
17S,17,16.45,15.15,13.35,11.55,10.6,11,12.45,14.2,15.8,16.75,16.95
16S,16.9,16.4,15.2,13.5,11.7,10.8,11.2,12.6,14.3,15.8,16.7,16.8
15S,16.8,16.4,15.25,13.6,11.9,11,11.4,12.75,14.4,15.8,16.6,16.7
14S,16.7,16.4,15.3,13.7,12.1,11.2,11.6,12.9,14.5,15.8,16.5,16.6
13S,16.65,16.35,15.35,13.85,12.3,11.4,11.8,13.05,14.6,15.8,16.45,16.55
12S,16.6,16.3,15.4,14,12.5,11.6,12,13.2,14.7,15.8,16.4,16.5
11S,16.5,16.3,15.45,14.1,12.65,11.8,12.2,13.35,14.75,15.85,16.3,16.35
10S,16.4,16.3,15.5,14.2,12.8,12,12.4,13.5,14.8,15.9,16.2,16.2
9S,16.25,16.2,15.5,14.3,12.95,12.2,12.55,13.6,14.85,15.85,16.1,16.1
8S,16.1,16.1,15.5,14.4,13.1,12.4,12.7,13.7,14.9,15.8,16,16
7S,15.95,16.05,15.55,14.55,13.25,12.6,12.9,13.85,14.95,15.75,15.9,15.85
6S,15.8,16,15.6,14.7,13.4,12.8,13.1,14,15,15.7,15.8,15.7
5S,15.65,15.9,15.6,14.8,13.6,13,13.25,14.15,15.05,15.65,15.65,15.55
4S,15.5,15.8,15.6,14.9,13.8,13.2,13.4,14.3,15.1,15.6,15.5,15.4
3S,15.4,15.75,15.65,15,13.95,13.35,13.55,14.4,15.15,15.55,15.4,15.25
2S,15.3,15.7,15.7,15.1,14.1,13.5,13.7,14.5,15.2,15.5,15.3,15.1
1S,15.15,15.6,15.7,15.2,14.25,13.7,13.9,14.65,15.25,15.45,15.2,14.95
0S,15,15.5,15.7,15.3,14.4,13.9,14.1,14.8,15.3,15.4,15.1,14.8
